feature,importance
IBIF_sq__entropy__day_max,0.11163248650254173
cppall__median__day_max,0.11038272738073526
h1h2_cpp_ratio__day_median,0.10985594843624616
spectralTiltall__kurt__day_median,0.1090029826270458
IBIF_hrf__entropy__day_std,0.1073415008929032
LHratioall__p25__day_min,0.10733978752950626
cpp_below_14__day_max,0.10723994540793177
IBIF_mfdr__mean__day_min,0.10695988965025886
IBIF_mfdr__mad__day_mean,0.10675030349289016
LHratioall__p05__day_median,0.10606335071803615
IBIF_naq__p95__day_mean,0.1041401704603436
cppall__p05__day_mean,0.10375388361015073
dBcms2__p75__day_max,0.10373995618292635
spectralTiltall__mad__day_max,0.10355920863007576
IBIF_sq__entropy__day_std,0.102061342670059
IBIF_hrf__std__day_mean,0.10086236811387547
dBcms2__p95__day_mean,0.10068054990428166
cpp_below_14__day_mean,0.10013008900801537
h1h2_cpp_ratio__day_std,0.10008886287177259
level__std__day_min,0.09831367241430046
spectralTiltall__median__slope,0.09825222866621455
IBIF_mfdr__iqr__day_max,0.09805497271090777
spectralTiltall__entropy__day_std,0.09798523393058442
IBIF_oq__p95__day_mean,0.09790738107141966
lh_cv__day_std,0.09757179456708563
dBcms2__kurt__day_median,0.09755597114001317
IBIF_oq__p05__day_max,0.09537072416822565
dBcms2__std__day_median,0.09525527041483835
IBIF_oq__kurt__day_min,0.09454609762177127
H1H2all__median__day_max,0.09411134098967873
cppall__std__day_min,0.09326921531832959
IBIF_acflow__range__day_median,0.09262543511856598
IBIF_mfdr__mad__day_min,0.09130973464436334
IBIF_mfdr__mad__day_median,0.09116997406786251
IBIF_oq__range__day_min,0.09097517103669092
IBIF_oq__kurt__day_median,0.090349215842691
spectralTiltall__std__day_min,0.09026261904482868
cpp_cv__day_std,0.08982660421317983
cppall__p95__day_median,0.08980428574962393
IBIF_naq__kurt__day_mean,0.08959157208652206
IBIF_naq__kurt__day_min,0.08906613457837084
IBIF_acflow__entropy__day_max,0.08876306111748725
cppall__entropy__day_std,0.08804598913117131
IBIF_cq__std__day_std,0.08796608703377004
cppall__entropy__day_max,0.08784091495260253
IBIF_oq__skew__day_median,0.08772664272345912
IBIF_oq__skew__day_max,0.08644465968284377
H1H2all__std__day_median,0.08602035263584065
IBIF_h1h2__std__day_median,0.0858230991340212
cppall__mean__day_std,0.0856256488760276
level__entropy__day_median,0.08539845163054352
level__std__day_max,0.08537270410253198
H1H2all__mean__day_max,0.08492883549818575
tilt_range__day_std,0.08422443167149783
IBIF_sq__entropy__day_median,0.08395319865620696
level__skew__day_mean,0.08329672681478051
LHratioall__skew__day_min,0.08319104726159368
tilt_range__day_max,0.08318004501981674
IBIF_cq__range__day_median,0.08225894378177463
IBIF_sq__skew__day_median,0.08203171355917495
LHratioall__median__day_min,0.08188072280179168
cpp_low_rate__day_std,0.08182074823829753
level_cv__day_max,0.08166705857225018
dBcms2__p75__day_min,0.0815096150592322
level__mad__day_mean,0.08149764289706529
cppall__std__day_std,0.08117231358765371
IBIF_naq__std__day_median,0.08112860189127688
IBIF_hrf__range__day_min,0.08019361878875728
IBIF_mfdr__entropy__day_median,0.07998214489085147
IBIF_mfdr__p25__day_min,0.07968956699055599
H1H2all__mad__day_max,0.07943439242471333
spectralTiltall__mad__day_min,0.07928887435224945
cppall__std__day_mean,0.07916831277082255
IBIF_sq__median__day_min,0.07876096628170151
LHratioall__entropy__day_max,0.07858385388783229
spectralTiltall__iqr__day_median,0.07828124420195794
IBIF_cq__entropy__day_std,0.07811333682513963
cpp_below_14__day_min,0.0780746612142609
IBIF_h1h2__entropy__day_min,0.07807107958126865
IBIF_oq__entropy__day_min,0.07796613274574742
cppall__mean__day_median,0.07768937134639667
H1H2all__range__day_median,0.07758792178577838
IBIF_naq__p25__day_min,0.07704318550447525
cppall__p95__day_std,0.07665193847739389
IBIF_naq__median__day_mean,0.07633317033247353
H1H2all__p95__day_max,0.07609122980084562
IBIF_h1h2__kurt__day_mean,0.07569006684302489
IBIF_oq__p25__day_min,0.07550437678684276
cppall__p25__day_median,0.0753307293567571
cppall__iqr__day_median,0.07525754645884268
spectralTiltall__p25__day_min,0.07511800155107705
level__median__day_median,0.07502466230511261
IBIF_cq__mad__day_std,0.07496130741217184
IBIF_naq__mean__day_median,0.07479520606885634
IBIF_oq__p25__day_max,0.07477012993066197
IBIF_naq__p05__day_median,0.07476164008499016
IBIF_hrf__p75__day_std,0.07432806784886077
IBIF_cq__range__day_max,0.07402665000518995
cpp_skew__day_max,0.07370226704948553
IBIF_mfdr__p95__day_mean,0.07367112041406643
cppall__p95__day_min,0.07351531176039028
IBIF_oq__std__day_std,0.0730482176807388
IBIF_cq__p75__day_min,0.07303627566626322
spectralTiltall__p95__day_std,0.07272600253678366
spectralTiltall__kurt__day_std,0.07242830831067212
IBIF_hrf__skew__day_median,0.0723622603096487
IBIF_mfdr__p25__day_std,0.07197703812645123
IBIF_oq__median__day_mean,0.0717026032924208
IBIF_h1h2__p75__day_std,0.0711099218265557
LHratioall__iqr__day_std,0.07105091990049392
IBIF_mfdr__mad__day_std,0.07088202375662693
IBIF_oq__entropy__day_max,0.07080128517622922
IBIF_naq__median__day_min,0.07046954944345407
IBIF_oq__kurt__day_max,0.06980887697514854
spectralTiltall__p95__day_mean,0.06976123143628883
dBcms2__p25__day_min,0.06971596488544299
LHratioall__p75__day_std,0.06969875390540757
IBIF_cq__skew__day_std,0.06969036658501573
IBIF_cq__p05__day_mean,0.0693679605049336
H1H2all__p05__day_mean,0.06912062542661343
IBIF_oq__mad__day_median,0.06897440843704988
spectralTiltall__p25__day_median,0.06892549007376643
H1H2all__p25__day_max,0.0687482298358659
H1H2all__iqr__day_mean,0.0685582581392096
IBIF_mfdr__median__day_mean,0.0680765652703361
spectralTiltall__mad__day_median,0.06794481399241337
IBIF_sq__skew__day_std,0.0679147642962276
level_cv__day_median,0.06772117738147251
IBIF_hrf__range__day_std,0.06755128618270329
H1H2all__median__day_mean,0.06725428939340863
dBcms2__p75__day_median,0.0671233442727577
dBcms2__iqr__day_std,0.06708073229920364
IBIF_h1h2__kurt__day_min,0.06695129934177062
IBIF_cq__p25__day_std,0.06691043111674008
IBIF_sq__p95__day_min,0.06688421075224239
spectralTiltall__skew__day_std,0.06677658485801405
h1h2_extreme_rate__day_max,0.06663085159422144
IBIF_sq__median__day_max,0.06619679843015433
IBIF_cq__p95__day_mean,0.06560648657693484
level__mad__day_median,0.0653841383826261
IBIF_mfdr__std__day_max,0.06532617553310079
spectralTiltall__entropy__day_min,0.0653155576852782
lh_cv__day_min,0.06518088968332253
cpp_low_rate__day_min,0.06506130333310416
IBIF_cq__skew__day_max,0.06497782709578767
IBIF_cq__kurt__day_std,0.06489613664428476
dBcms2__median__day_median,0.0647137207885749
IBIF_naq__skew__day_median,0.06356150702338074
IBIF_h1h2__std__day_mean,0.0635512394380866
IBIF_mfdr__skew__day_mean,0.0634552026402064
h1h2_extreme_rate__day_median,0.06343421262630447
IBIF_sq__kurt__day_std,0.06330652895493474
spectralTiltall__kurt__day_min,0.06322631120590608
h1h2_skew__day_mean,0.06290645276503955
dBcms2__mad__day_min,0.06289103239886407
IBIF_hrf__p95__day_min,0.06275472599414825
IBIF_h1h2__skew__day_mean,0.06255881159296758
spectralTiltall__range__day_std,0.06250798734439074
dBcms2__std__day_mean,0.062415049382543664
cppall__mean__day_mean,0.0624000210284397
IBIF_naq__mad__day_std,0.06227275505355143
IBIF_sq__p95__day_max,0.06205106289552883
IBIF_oq__p95__day_min,0.061924762471736686
level__p25__day_std,0.06183002232902775
IBIF_mfdr__p25__day_median,0.06153457886692344
H1H2all__mean__day_mean,0.061376100527912945
dBcms2__skew__day_mean,0.06133607347038013
cpp_cv__day_median,0.06127882755280527
level__kurt__day_min,0.06120042345245108
IBIF_h1h2__range__day_std,0.06105489911221377
cpp_p05_minus_med__day_median,0.06085285588067656
IBIF_oq__entropy__day_mean,0.06051614459322603
IBIF_cq__entropy__day_max,0.060157332421754584
cppall__kurt__day_std,0.05966299482148814
LHratioall__mean__day_min,0.05917089376675646
lh_cv__day_max,0.05887768753716453
IBIF_acflow__std__day_mean,0.05886050857627134
IBIF_hrf__iqr__day_max,0.058850756823967156
H1H2all__p95__day_min,0.05872641125676474
IBIF_mfdr__mean__day_max,0.058476970800756735
cpp_range__day_mean,0.05833727992454766
IBIF_sq__p75__day_mean,0.05827566771463968
IBIF_sq__skew__day_mean,0.0581702360255331
IBIF_acflow__std__day_max,0.05798817403551039
IBIF_hrf__std__day_max,0.057972294980292514
IBIF_sq__mad__day_mean,0.05795859131582146
IBIF_oq__range__day_max,0.05791840881492092
IBIF_naq__entropy__day_std,0.05783214732158447
IBIF_cq__p05__day_std,0.05780136561924344
IBIF_sq__p25__day_mean,0.05766881294954947
IBIF_oq__mean__day_max,0.05741907102562517
dBcms2__iqr__day_max,0.057221505771435775
cppall__p95__day_mean,0.05697289286931664
LHratioall__median__slope,0.056967218833643606
IBIF_hrf__kurt__day_max,0.05692795120600243
IBIF_hrf__kurt__day_min,0.05692287730498659
IBIF_mfdr__iqr__day_median,0.05686435255418025
dBcms2__p05__day_std,0.056818465902032364
LHratioall__mean__day_mean,0.05678993387167548
LHratioall__p05__day_std,0.056243988008249944
IBIF_naq__range__day_median,0.055940719564665495
cppall__iqr__day_mean,0.05560931499643316
IBIF_mfdr__p75__day_std,0.055485153141057765
LHratioall__range__day_std,0.05548240615814013
IBIF_mfdr__std__day_std,0.05543999958729336
IBIF_naq__std__day_max,0.05531262439565256
IBIF_oq__p75__day_max,0.05525754399106323
IBIF_sq__range__day_min,0.055246304977691965
IBIF_cq__std__day_min,0.055203204603722356
H1H2all__kurt__day_mean,0.05518399698575458
IBIF_cq__entropy__day_median,0.05497015438618319
IBIF_sq__kurt__day_min,0.05482157115169328
level__mad__day_min,0.054768940032505965
IBIF_naq__entropy__day_min,0.05464664324173998
dBcms2__range__day_median,0.05455315536793959
LHratioall__std__day_std,0.054461637331593996
IBIF_naq__p95__day_min,0.054342072697762665
level__p25__day_mean,0.05425535234398267
level__kurt__day_std,0.05422481425832508
H1H2all__mad__day_mean,0.05421615608206232
IBIF_sq__p25__day_max,0.05406355916562433
IBIF_mfdr__std__day_mean,0.05406348804760238
IBIF_oq__p25__day_mean,0.05405330534506152
dBcms2__entropy__day_mean,0.05402716891457564
level__kurt__day_mean,0.05368396855253749
IBIF_hrf__entropy__day_max,0.053129129021812396
dBcms2__p95__day_min,0.05289568152083557
IBIF_mfdr__p05__day_max,0.05272614005861549
level__mean__day_max,0.052615808203731296
IBIF_cq__iqr__day_std,0.05255425830710031
IBIF_oq__kurt__day_std,0.05254299364632344
tilt_range__day_min,0.05248797057483836
level__entropy__day_std,0.052331598140008095
H1H2all__kurt__day_min,0.05225296372882414
IBIF_h1h2__p95__day_median,0.052112655621503065
dBcms2__p25__day_max,0.051783274086807066
level__iqr__day_median,0.05166502332231236
IBIF_oq__skew__day_std,0.05162249483257171
IBIF_naq__p25__day_median,0.05127210774975288
level__kurt__day_max,0.051246261503793224
